identifier,station_name,category,stage,flow
08194000,Nueces River at Cotulla,action,,
08194000,Nueces River at Cotulla,minor,,
08194000,Nueces River at Cotulla,moderate,,
08194000,Nueces River at Cotulla,major,,
08194500,Nueces River near Tilden,action,,
08194500,Nueces River near Tilden,minor,,
08194500,Nueces River near Tilden,moderate,,
08194500,Nueces River near Tilden,major,,
08210000,Nueces River near Three Rivers,action,,
08210000,Nueces River near Three Rivers,minor,,
08210000,Nueces River near Three Rivers,moderate,,
08210000,Nueces River near Three Rivers,major,,
08211000,Nueces River near Mathis,action,,
08211000,Nueces River near Mathis,minor,,
08211000,Nueces River near Mathis,moderate,,
08211000,Nueces River near Mathis,major,,
08211200,Nueces River at Bluntzer,action,,
08211200,Nueces River at Bluntzer,minor,,
08211200,Nueces River at Bluntzer,moderate,,
08211200,Nueces River at Bluntzer,major,,
08211500,Nueces River at Calallen,action,,
08211500,Nueces River at Calallen,minor,,
08211500,Nueces River at Calallen,moderate,,
08211500,Nueces River at Calallen,major,,
